Site_Name,Alt_1,Alt_2,Alt_3,Site,River_Side,GCMRC_Mile,RiverMile,NPS_Primar,NPS_Legacy,NPS_Size,NPS_Campsite,RemoteCamera,Photos_Available,Latitude,Longitude
Ropes Trail Camp,N/A, , ,Ropes_Trail_Camp,R,-14.183,-14.18,No,No,N/A,N,No,Yes,36.91848801,-111.4914992
-7 Mile Camp,N/A, , ,-7_Mile_Camp,L,-7.103,-7.1,No,No,N/A,N,No,Yes,36.87494396,-111.5481589
Jackass Camp,Jackass Canyon Camp, , ,Jackass_Camp,L,8.103,8.1,Yes,No,L,Y,Yes,Yes,36.77185225,-111.6559581
Badger Camp,N/A, , ,Badger_Camp,R,8.106,8.11,Yes,No,M,Y,No,Yes,36.77268552,-111.6574513
8.5 Mile Camp,Below Jackass Camp, , ,8.5_Mile_Camp,L,8.771,8.77,Yes,No,S,Y,No,Yes,36.76369467,-111.6625847
Soap Creek Camp,N/A, , ,Soap_Creek_Camp,R,11.309,11.31,Yes,No,M,Y,No,Yes,36.74017608,-111.6942766
12.4 Mile Camp,Below Salt Water Camp,Nevills Inscription Camp,Salt Water Wash Camp,12.4_Mile_Camp,L,12.405,12.41,Yes,No,S,Y,No,Yes,36.72608514,-111.6993247
Hot Na Na Camp,Hot Na Na Wash Camp, , ,Hot_Na_Na_Camp,L,16.616,16.62,Yes,No,M,Y,Yes,Yes,36.68079965,-111.7390437
18 Mile Ledges Camp,Eighteen Mile Ledges Camp,Upper 18 Mile Wash Camp, ,18_Mile_Ledges_Camp,L,18.468,18.47,Yes,No,M,Y,No,Yes,36.65513099,-111.7458449
19.4 Mile Camp,19.1 Mile Camp,Lower 19 Mile Camp,19 Mile Camp,19.4_Mile_Camp,L,19.439,19.44,Yes,No,L,Y,No,Yes,36.64792341,-111.7605657
20 Mile Camp,Hantavirus Camp,Twentymile Camp, ,20_Mile_Camp,L,20.172,20.17,Yes,No,L,Y,No,Yes,36.63765988,-111.7607697
Upper North Canyon Camp,North Canyon Camp, , ,Upper_North_Canyon_Camp,R,20.708,20.71,Yes,No,L,Y,No,Yes,36.63016244,-111.7640766
25 Mile Camp,25 Mile Rapid Camp, , ,25_Mile_Camp,L,25.093,25.1,Yes,Yes,S,N,No,Yes,36.57801587,-111.7914023
Cave Camp,N/A, , ,Cave_Camp,L,26.342,26.34,No,Yes,XS,N,No,Yes,36.56874877,-111.8096378
Above Tiger Wash Camp,Georgies Camp,Below Cave Camp,Cave Camp,Above_Tiger_Wash_Camp,L,26.421,26.42,Yes,Yes,S,Y,No,Yes,36.56772752,-111.810624
Tiger Wash Camp,N/A, , ,Tiger_Wash_Camp,L,26.901,26.9,No,Yes,N/A,N,No,Yes,36.56209477,-111.8148141
No Name 29.1 Camp,N/A, , ,No_Name_29.1_Camp,R,29.079,29.08,No,No,N/A,N,No,Yes,36.53395096,-111.8295826
29 Mile Camp,N/A, , ,29_Mile_Camp,R,29.232,29.23,No,Yes,N/A,N,No,Yes,36.53223599,-111.8314412
Shinumo Wash Camp,Silver Grotto Camp,Shinumo Canyon Camp, ,Shinumo_Wash_Camp,L,29.469,29.47,Yes,No,L,Y,No,Yes,36.5304138,-111.8345103
Fence Fault Camp,Upper Fence Fault Camp, , ,Fence_Fault_Camp,R,30.587,30.59,Yes,No,L,Y,No,Yes,36.51821032,-111.8471772
Upper South Canyon Camp,South Canyon Camp, , ,Upper_South_Canyon_Camp,R,31.715,31.72,Yes,Yes,S,Y,No,Yes,36.50467731,-111.857062
South Canyon Camp,Lower South Canyon Camp, , ,South_Canyon_Camp,R,31.879,31.88,Yes,No,L,Y,Yes,Yes,36.50249485,-111.8579155
Below Redwall Camp,33.5 Mile Camp, , ,Below_Redwall_Camp,L,33.806,33.81,Yes,No,L,Y,No,Yes,36.48544621,-111.8438371
Little Redwall Camp,Rock Point Cave, , ,Little_Redwall_Camp,L,34.076,34.08,Yes,No,M,Y,No,Yes,36.48214557,-111.8463047
Nautiloid Camp,Nautiloid Canyon Camp, , ,Nautiloid_Camp,L,35.052,35.05,Yes,No,L,Y,No,Yes,36.46996954,-111.8403673
35 Mile Camp,N/A, , ,35_Mile_Camp,L,35.39,35.39,No,Yes,N/A,N,No,Yes,36.46525816,-111.838149
36 Mile Camp,36 Mile Rapid Camp, , ,36_Mile_Camp,L,36.31,36.31,No,Yes,N/A,N,No,Yes,36.45209805,-111.8364986
37 Mile Camp,N/A, , ,37_Mile_Camp,R,37.531,37.53,No,Yes,N/A,N,No,Yes,36.44050482,-111.8503325
Tatahatso Wash Camp,Upper Tatahatso Camp, , ,Tatahatso_Wash_Camp,L,37.671,37.67,No,Yes,L,N,No,Yes,36.43868762,-111.8495679
Tatahatso Camp,37.5 Mile Camp, , ,Tatahatso_Camp,L,37.947,37.95,Yes,No,N/A,Y,No,Yes,36.43452726,-111.8515367
Marthas Camp,Bishop's Camp,38.5 Mile Camp, ,Marthas_Camp,L,38.665,38.67,Yes,No,M,Y,No,Yes,36.43311046,-111.86425
No Name 39.1 Camp,N/A, , ,No_Name_39.1_Camp,L,39.115,39.12,No,No,N/A,N,No,Yes,36.42922405,-111.8698519
MCD Site Camp,Marble Canyon Dam Site Camp, , ,MCD_Site_Camp,L,40.112,40.11,Yes,Yes,N/A,N,No,Yes,36.41561148,-111.8676234
40 Mile Camp,N/A, , ,40_Mile_Camp,R,40.376,40.38,No,Yes,N/A,N,No,Yes,36.41197707,-111.8691609
No Name 40.6 Camp,N/A, , ,No_Name_40.6_Camp,R,40.622,40.62,No,No,N/A,N,No,Yes,36.4092707,-111.8717153
Upper Buck Farm Camp,Buck Farm Canyon Camp, , ,Upper_Buck_Farm_Camp,R,41.151,41.15,Yes,Yes,S,N,No,Yes,36.4045379,-111.879216
Buck Farm Camp,Lower Buck Farm Camp, , ,Buck_Farm_Camp,R,41.231,41.23,Yes,No,L,Y,No,Yes,36.40361534,-111.8797025
Below Buck Farm Camp,N/A, , ,Below_Buck_Farm_Camp,R,41.296,41.3,No,No,N/A,N,No,Yes,36.40307142,-111.880625
No Name 41.6 Camp,N/A, , ,No_Name_41.6_Camp,R,41.642,41.64,No,No,N/A,N,No,Yes,36.39838059,-111.8833547
Royal Arches Camp,N/A, , ,Royal_Arches_Camp,R,41.849,41.85,No,Yes,N/A,N,No,Yes,36.39527594,-111.8828284
Upper Saddle Camp,Saddle Canyon Camp, , ,Upper_Saddle_Camp,R,47.483,47.48,Yes,No,L,Y,No,Yes,36.3678785,-111.8891782
